x	y	z
0	0	0
1	2	1
2	4	4
3	6	9
4	8	16
5	10	25
6	12	36
7	14	49
8	16	64
9	18	81
10	20	100
11	22	121
12	24	144
13	26	169
14	28	196
15	30	225
16	32	256
17	34	289
18	36	324
19	38	361
20	40	400
21	42	441
22	44	484
23	46	529
24	48	576
25	50	625
26	52	676
27	54	729
28	56	784
29	58	841
30	60	900
31	62	961
32	64	1024
33	66	1089
34	68	1156
35	70	1225
36	72	1296
37	74	1369
38	76	1444
39	78	1521
40	80	1600
41	82	1681
42	84	1764
43	86	1849
44	88	1936
45	90	2025
46	92	2116
47	94	2209
48	96	2304
49	98	2401
50	100	2500
51	102	2601
52	104	2704
53	106	2809
54	108	2916
55	110	3025
56	112	3136
57	114	3249
58	116	3364
59	118	3481
60	120	3600
61	122	3721
62	124	3844
63	126	3969
64	128	4096
65	130	4225
66	132	4356
67	134	4489
68	136	4624
69	138	4761
70	140	4900
71	142	5041
72	144	5184
73	146	5329
74	148	5476
75	150	5625
76	152	5776
77	154	5929
78	156	6084
79	158	6241
80	160	6400
81	162	6561
82	164	6724
83	166	6889
84	168	7056
85	170	7225
86	172	7396
87	174	7569
88	176	7744
89	178	7921
90	180	8100
91	182	8281
92	184	8464
93	186	8649
94	188	8836
95	190	9025
96	192	9216
97	194	9409
98	196	9604
99	198	9801
100	200	10000
101	202	10201
102	204	10404
103	206	10609
104	208	10816
105	210	11025
106	212	11236
107	214	11449
108	216	11664
109	218	11881
110	220	12100
111	222	12321
112	224	12544
113	226	12769
114	228	12996
115	230	13225
116	232	13456
117	234	13689
118	236	13924
119	238	14161
120	240	14400
121	242	14641
122	244	14884
123	246	15129
124	248	15376
125	250	15625
126	252	15876
127	254	16129
128	256	16384
129	258	16641
130	260	16900
131	262	17161
132	264	17424
133	266	17689
134	268	17956
135	270	18225
136	272	18496
137	274	18769
138	276	19044
139	278	19321
140	280	19600
141	282	19881
142	284	20164
143	286	20449
144	288	20736
145	290	21025
146	292	21316
147	294	21609
148	296	21904
149	298	22201
150	300	22500
151	302	22801
152	304	23104
153	306	23409
154	308	23716
155	310	24025
156	312	24336
157	314	24649
158	316	24964
159	318	25281
160	320	25600
161	322	25921
162	324	26244
163	326	26569
164	328	26896
165	330	27225
166	332	27556
167	334	27889
168	336	28224
169	338	28561
170	340	28900
171	342	29241
172	344	29584
173	346	29929
174	348	30276
175	350	30625
176	352	30976
177	354	31329
178	356	31684
179	358	32041
180	360	32400
181	362	32761
182	364	33124
183	366	33489
184	368	33856
185	370	34225
186	372	34596
187	374	34969
188	376	35344
189	378	35721
190	380	36100
191	382	36481
192	384	36864
193	386	37249
194	388	37636
195	390	38025
196	392	38416
197	394	38809
198	396	39204
199	398	39601
200	400	40000
